id,length,hashtag_count,mention_count,likes_count,retweet_count,sentiment,created_at
9.50268117652881E+017,128,0,0,2214,159,0.055803571428572,7
9.50267611601781E+017,28,0,0,1099,73,0.35,7
9.50263623452013E+017,140,0,0,5847,695,0,7
9.5022568332152E+017,50,0,0,2039,195,0,4
9.50225091232547E+017,140,0,0,2843,226,0.286328125,4
9.5021695390949E+017,20,0,1,80,8,0.5,4
9.50216922187968E+017,31,0,1,31,5,0.2,4
9.50215831400547E+017,140,0,2,0,59,0.65,4
9.50215494958645E+017,30,0,2,15,6,0.5,4
9.50215199960662E+017,70,0,3,20,11,0,3
9.50215097145635E+017,34,0,2,14,4,0.5,3
9.50215038286971E+017,76,0,0,1407,123,0.5,3
9.50214629271126E+017,105,0,7,17,9,0.5,3
9.50214515978727E+017,43,0,1,79,12,0,3
9.50214398236217E+017,28,0,2,12,3,0,3
9.50214315583333E+017,83,0,2,21,5,0.2,3
9.50214065959269E+017,38,0,2,14,6,0,3
9.50214010242126E+017,28,0,2,15,4,0.5,3
9.50213962510959E+017,16,0,1,25,4,0.5,3
9.50213845938709E+017,27,0,2,24,6,0,3
9.50213808735142E+017,17,0,1,21,4,0.5,3
9.50213744029659E+017,132,0,8,54,14,0,3
9.50213611896492E+017,16,0,1,25,2,0,3
9.50213548105323E+017,18,0,1,19,3,0.6,3
9.50213476080742E+017,85,0,1,81,11,0.416666666666667,3
9.50094671430042E+017,31,0,1,10,3,0,19
9.50081093406835E+017,116,0,0,10553,647,0,19
9.50080277598028E+017,28,0,0,938,95,0.5,19
9.50076750666416E+017,140,0,0,2974,236,0.0546875,18
9.50076002113221E+017,30,0,0,1166,74,0.5,18
9.50075775494992E+017,140,0,0,4118,300,0.175,18
9.50075363303948E+017,140,0,0,2038,170,0.6,18
9.50074694182453E+017,55,0,0,1191,92,0,18
9.50074266338259E+017,90,0,1,0,1552,-0.7,18
9.50074063661146E+017,33,0,0,1318,105,0.55,18
9.50064399103832E+017,126,0,0,2888,258,0.068181818181818,17
9.49700744994726E+017,139,0,0,20926,1156,0.875,17
9.49695172387914E+017,32,0,0,3328,219,0.2,17
9.49373226559263E+017,140,1,2,4518,291,0,20
9.49368649696997E+017,129,0,1,1142,169,0,19
9.49356544184926E+017,139,0,0,20578,1518,0,19
9.49352130795618E+017,31,0,0,1958,141,0.6,18
9.49343674059534E+017,51,0,0,2699,165,0.375,18
9.49342998747206E+017,23,0,1,18,5,0.35,18
9.491287163612E+017,87,0,0,2121,183,0.5,4
9.49127255090913E+017,138,0,0,14096,1351,0,3
9.49125955305423E+017,98,0,0,3488,247,0.5,3
9.49125638283174E+017,79,0,0,2045,159,0,3
9.48997074103632E+017,69,0,0,2051,137,0.9765625,19
9.48994552626491E+017,139,0,0,5057,346,0,19
9.48848942564782E+017,32,0,0,5616,524,0.2,9
9.48617998000054E+017,34,0,0,2046,145,0,18
9.4861632529902E+017,34,0,2,36,12,0,18
9.48616056075035E+017,54,0,2,27,11,0.5,18
9.48615946075226E+017,39,0,0,1855,142,0.2,18
9.48615495841866E+017,18,0,1,20,4,0,18
9.48615431312499E+017,35,0,1,102,17,0,18
9.48615329361482E+017,140,0,2,0,86,0.5,18
9.48614896433873E+017,48,1,1,0,399,0,17
9.48614435752485E+017,140,0,0,11529,838,0,17
9.48613618660131E+017,15,0,1,122,14,0,17
9.48613517296378E+017,24,0,1,25,5,0,17
9.48611410421891E+017,64,0,0,3170,300,0,17
9.48609572876435E+017,128,0,7,44,22,0,17
9.48609383407042E+017,33,0,0,2788,138,0,17
9.48609073099948E+017,31,0,0,1985,144,0,17
9.4860897146352E+017,130,0,7,31,16,0,17
9.48608890463126E+017,109,0,7,91,16,0.5,17
9.48608590884979E+017,21,0,1,35,7,0,17
9.48608489726726E+017,24,0,1,49,11,0,17
9.48608438732448E+017,128,0,7,26,10,0,17
9.48608305798107E+017,33,0,2,27,4,0,17
9.48608217336103E+017,137,0,8,41,22,0,17
9.48608181764219E+017,137,0,8,46,25,0,17
9.48608052005028E+017,48,0,0,1630,118,0.8,17
9.48607950624457E+017,21,0,1,36,3,0,17
9.48607878474088E+017,29,0,1,42,6,0.85,17
9.48607828658331E+017,29,0,2,19,6,0,17
9.4860778720598E+017,135,0,8,42,19,0,17
9.48607273370141E+017,18,0,1,49,5,0,17
9.48607236707774E+017,22,0,1,69,9,0,17
9.4860719295694E+017,19,0,1,45,8,0,17
9.48607154432324E+017,139,0,1,0,329,0,17
9.48607121775518E+017,140,0,2,0,129,0.1,17
9.48606947657368E+017,30,0,1,75,8,0.85,17
9.48298826779001E+017,139,0,0,11267,684,0,21
9.48285916186952E+017,139,0,0,3665,265,0,20
9.48277139308073E+017,140,0,2,0,76,0,19
9.47892728695624E+017,140,0,0,21411,1011,0,18
9.47707880714539E+017,134,0,0,61066,3515,0.249621212121212,5
9.47705688540582E+017,56,0,0,5447,340,0,5
9.47555836590616E+017,120,0,0,8629,496,0.568181818181818,19
9.47532680995807E+017,79,0,0,23361,1780,0,18
9.473577741066E+017,81,0,0,5988,672,0,6
9.4735756231963E+017,136,0,0,2335,204,0.316666666666667,6
9.47355610659598E+017,28,0,0,3255,294,0,6
9.4735542825345E+017,46,0,1,316,25,0,6
9.47346711621415E+017,139,0,0,49927,7244,-0.1,6
9.47340031747801E+017,140,0,1,0,564,0,5
9.47339767926071E+017,87,0,1,0,1288,0.15625,5
